time	fnum	flen
14:40:00.001	1	62
14:40:00.002	3	1202
14:40:00.003	10	1514
14:40:00.004	16	1514
14:40:00.005	24	1514
14:40:00.007	27	1514
14:40:00.008	39	1190
14:40:00.009	41	1202
14:40:00.010	44	1214
14:40:00.011	47	1202
14:40:00.012	49	1514
14:40:00.013	60	1514
14:40:00.014	65	1202
14:40:00.015	67	62
14:40:00.016	69	1202
14:40:00.017	78	630
14:40:00.018	88	630
14:40:00.019	100	618
14:40:00.020	106	1514
14:40:00.021	113	1514
14:40:00.022	116	1514
14:40:00.023	122	1190
14:40:00.024	123	62
14:40:00.025	127	634
14:40:00.026	140	62
14:40:00.028	142	1202
14:40:00.029	145	62
14:40:00.030	154	62
14:40:00.031	158	62
14:40:00.032	163	62
14:40:00.033	164	630
14:40:00.034	171	1514
14:40:00.035	187	62
14:40:00.036	189	1514
14:40:00.037	197	1514
14:40:00.038	202	62
14:40:00.039	204	1514
14:40:00.040	207	1218
14:40:00.041	210	1214
14:40:00.042	213	62
14:40:00.043	215	1214
14:40:00.044	218	1202
14:40:00.045	221	1202
14:40:00.046	224	1214
14:40:00.047	227	1214
14:40:00.048	230	1514
14:40:00.049	233	630
14:40:00.050	240	1190
14:40:00.051	243	1514
14:40:00.052	249	1514
14:40:00.053	259	62
14:40:00.054	261	1514
14:40:00.055	269	62
14:40:00.056	272	62
14:40:00.057	275	1230
14:40:00.058	288	1514
14:40:00.059	308	62
14:40:00.060	311	630
14:40:00.061	330	630
14:40:00.062	337	1514
14:40:00.063	344	1514
14:40:00.064	357	62
14:40:00.065	362	1514
14:40:00.066	368	1514
14:40:00.067	380	1202
14:40:00.068	383	62
14:40:00.069	388	62
14:40:00.070	393	1514
14:40:00.071	400	62
14:40:00.072	403	1214
14:40:00.074	404	1214
14:40:00.075	413	62
14:40:00.076	422	1514
14:40:00.077	430	1514
14:40:00.078	441	1514
14:40:00.079	450	634
14:40:00.080	452	646
14:40:00.081	470	1514
14:40:00.082	476	618
14:40:00.083	492	62
14:40:00.084	495	62
14:40:00.085	508	1514
14:40:00.086	511	1514
14:40:00.087	522	62
14:40:00.088	525	62
14:40:00.089	526	62
14:40:00.090	530	62
14:40:00.091	535	62
14:40:00.092	543	1514
14:40:00.093	556	1218
14:40:00.095	564	62
14:40:00.096	567	62
14:40:00.097	569	1214
14:40:00.099	575	1514
14:40:00.100	579	62
14:40:00.101	581	62
14:40:00.102	586	62
14:40:00.103	588	62
14:40:00.104	594	618
14:40:00.105	597	1230
14:40:00.106	601	1218
14:40:00.107	604	1202
14:40:00.108	611	1514
14:40:00.109	620	1206
14:40:00.110	630	1514
14:40:00.111	640	630
14:40:00.112	645	62
14:40:00.113	662	1514
14:40:00.114	672	62
14:40:00.115	677	62
14:40:00.116	682	62
14:40:00.117	687	62
14:40:00.118	692	62
14:40:00.119	694	62
14:40:00.121	696	1514
14:40:00.122	708	618
14:40:00.123	709	62
14:40:00.124	714	1514
14:40:00.125	730	1514
14:40:00.126	744	618
14:40:00.127	751	62
14:40:00.128	753	62
14:40:00.129	755	1514
14:40:00.130	759	634
14:40:00.131	761	1514
14:40:00.132	764	1514
14:40:00.133	774	1206
14:40:00.134	777	630
14:40:00.135	779	630
14:40:00.137	782	1202
14:40:00.138	785	1202
14:40:00.139	788	1514
14:40:00.140	800	646
14:40:00.141	806	62
14:40:00.142	812	1514
14:40:00.143	824	1514
14:40:00.144	828	1514
14:40:00.145	838	62
14:40:00.146	852	62
14:40:00.147	856	62
14:40:00.148	860	62
14:40:00.149	863	62
14:40:00.150	865	1214
14:40:00.151	868	1202
14:40:00.152	870	1190
14:40:00.153	873	1202
14:40:00.154	879	1514
14:40:00.155	890	1514
14:40:00.156	900	1514
